id,text,charles,amir,moindze,final
166,"Pourtant, avec la non prise en compte du vote blanc et de l’abstention la légitimité n’est pas présente (Election d’Emmanuel MACRON : 66% officiellement ; 44% avec comptabilisation des votes blanc et 25% d’abstention).",non dissident,non dissident,non dissident,non dissident
167,Supprimer toutes celles ne servant pas.,non dissident,dissident,dissident,dissident
168,"suppression de l'ISF mal comprise/mal expliquée/explication ""tronquée"" par les médias/réseaux sociaux ?",non dissident,non dissident,non dissident,non dissident
169,"Trop de ministres, trop de secrétaires d'état, suppression du sénat , diminution du nombre des députés.",dissident,non dissident,dissident,dissident
170,"Le système paraît trop lourd, coûteux et source de dysfonctionnements.",non dissident,non dissident,non dissident,non dissident
171,Ces droits et ces devoirs sont devenus totalement illisibles avec l’accumulation des aides et des obligations parfois contradictoires mais surtout infantilisantes qui renforcent les inégalités en stigmatisant l’assistanat et en survalorisant la réussite des initiés.,non dissident,non dissident,non dissident,non dissident
172,"Cela ne peut plus durer, être maire est difficile, demande du temps, comment comprendre que certains multiplie les casquettes par le biais de présidence de syndicats ou autres c'est simplement inacceptable dnas le monde dans lequel nous vivons.",non dissident,non dissident,non dissident,non dissident
173,Abandon du projet Métropoles qui ne correspond pas à la réalité géographique de la France,non dissident,non dissident,non dissident,non dissident
174,"Nous avons atteint le summum de la complexité administrative synonyme de lourdeur, lenteur, inefficacité coûts aberrants avec des sur-pouvoirs de nombreux hauts fonctionnaires dont les agissements sont préjudiciables et non contrôlés et/ou contrôlables.",dissident,non dissident,non dissident,non dissident
175,Les élus ayant eu une condamnation doivent perdre leur mandat et ne plus exercer de mandat.,non dissident,non dissident,non dissident,non dissident
176,Trop d'Etat tue l'Etat.,non dissident,inclassable,non dissident,non dissident
177,Trop d'Etat tue l'Etat.,non dissident,inclassable,non dissident,non dissident
178,"Ce faisant, et acceptant de vendre des armes à un gouvernement en sachant que ces armes sont utilisées contre des civils, notre pays bafoue les engagements internationaux qu’il a signés.",non dissident,dissident,non dissident,non dissident
179,"trop lourde et trop couteuse  les élus ne font pas leur job , il faut les contrôler et les remplacer si nécessaire Réduire le nombre de tous les élus  députés( 2par département )  sénateurs ( 1 par département )conseillers régionaux ( 15 par département )",dissident,non dissident,dissident,dissident
180,"Revoir l’organisation (illisible) et les prérogatives (illégitimes démocratiquement, trop larges.)",dissident,dissident,non dissident,dissident
181,"Beaucoup trop d’echelons, beaucoup trop de normes, un langage devenu incompréhensible.",non dissident,non dissident,non dissident,non dissident
182,le permis à point est un échec car l'on se retrouve aujourd'hui avec des centaines de milleirs de personnes conduisant sans permis et donc sans assurance!,non dissident,non dissident,non dissident,non dissident
183,trop d'élus : 550 000. trop de communes : 36 000.,non dissident,non dissident,non dissident,non dissident
184,"Ne pas fermer la poste ou les perceptions qui ne sont ouvert que trois par jour, réduire les employés (es) du trésor public, prélèvement à la source ( service impôts supprimé, les produits communaux en mairie pour le paiement)",non dissident,non dissident,non dissident,non dissident
185,Le mille feuilles territoriale engendre des surcoûts très importants et rend illisible les responsabilités.,non dissident,non dissident,non dissident,non dissident
186,Trop de papiers tue les papiers.,non dissident,non dissident,non dissident,non dissident
187,Retour au President arbitre élu au suffrage indirect ?,non dissident,non dissident,non dissident,non dissident
188,http://www.sincerites.org/2017/02/des-peuples-socio-economiquement-incompetents-ne-peuvent-elire-qu-un-personnel-politique-socio-economiquement-incompetent.html 5) Pauvre peuple russe : Spolié en 1917 et en 1991 !,non dissident,inclassable,inclassable,inclassable
189,"Ma taxe foncière nous coute un mois de salaire alors que mon voisin d'en face, sur l'autre commune, paye moins du tiers pou la même surface!",non dissident,non dissident,non dissident,non dissident
190,"Tout est à revoir avec suppression des commissions ad-hoc qui ne servent à rien, suppression du conseil économique social et environnemental",dissident,dissident,dissident,dissident
191,"nous sommes à l'heure du numérique et on utilise encore trop de papiers , on nous demande 50 fois le même papier c'est une aberration.",non dissident,non dissident,non dissident,non dissident
192,Et le mot « Service » … il n’existe pas.,inclassable,dissident,inclassable,inclassable
193,"Les hauts fonctionnaires quittant la fonction publique, la quittent définitivement.",non dissident,non dissident,non dissident,non dissident
194,Arrêter toutes les normes inutiles et les démarches chronophages et couteuses pour tous,non dissident,non dissident,non dissident,non dissident
195,Notre gouvernement agit trop vite sans aucune réflexion.,dissident,non dissident,dissident,dissident
196,Le président de la république a trop de pouvoir donc les limités  Trop de petites administrations qui ne sert à rien vu que les rapports ne sont jamais pris en compte donc pourquoi dépenser nos impôts dedans   Trop de collabateurs au sénat  et assemblé national donc en limite le nombre de moitié et supprimer l’ensemble des privilèges ainsi que le salaire afin d’être plus proche des français moyens.,non dissident,non dissident,dissident,non dissident
197,Mal gérée.,dissident,non dissident,non dissident,non dissident
198,"Depuis 2003, mon invalidité a été ""augmentée de 100€ environ, mes APL ont été diminué des 5€ en novembre 2017, puis la CSG à elle aussi été augmenté en janvier 2018.",non dissident,non dissident,non dissident,non dissident
199,De plus il est inadmissible de partager sur le net une document officiel FR tel que la carte ID ou Visa.,non dissident,non dissident,non dissident,non dissident
200,Trop complexe et sans aucune communication.,non dissident,non dissident,non dissident,non dissident
201,Les administrations en France c est la merde rien ne va personne ne sait vous renseigner il y a certaines administrations dont on se demande à quoi elles servent comme les sous préfectures le pôle emploi,dissident,dissident,dissident,dissident
202,rétablir l'ISF qui ne permet en réalité aucune création d'emploi de manière significative.,non dissident,non dissident,non dissident,non dissident
203,J’ai moi-même 72 ans et je ne supporte plus la vue (dans tous les sens du terme)du président.,dissident,dissident,dissident,dissident
204,Casse des services publics qui existaient auparavant,inclassable,non dissident,non dissident,non dissident
205,"- Trop de Maires, Trop de fonctionnaires territoriaux ce qui fait exploser les impôts locaux, fonciers et taxe d’habitations.",non dissident,non dissident,non dissident,non dissident
206,"trop trop lourd et compliqué, trop de bureaucratie.",non dissident,non dissident,non dissident,non dissident
207,Trop éloignée du public.,non dissident,non dissident,non dissident,non dissident
208,De nombreux avocats ne respectent pas leur obligations et de nombreux clients pâtissent de leurs manquements.,non dissident,non dissident,non dissident,non dissident
209,TROP DE PERSONNEL DANS LES REGIONS TROP DE PERSONNEL DANS LES MINISTERES AUX SALAIRES TROP ELEVES AVANTAGES EHONTES ACCORDES AUX ANCIENS PRESIDENTS QUI NE DEVRAIENT PAS FAIRE AUTOMATIQUEMENT PARTIE DU CONSEIL CONSTITIONNEL AVEC CUMUL DES RETRAITES ET DES AVANTAGES TROP DE COMMISSIONS GENRE DE CELLES DONT S OCCUPE MME JOUANNO POUR LA PLUPART INUTILES ET INEFFICACES,non dissident,dissident,non dissident,dissident
210,JE SUIS ÉPUISÉE DE TOUT ÇA  JE TIENS MON DOSSIER À VOTRE DISPOSITION C'EST ÉDIFIANT  J'ESPÈRE QUE VOUS PRENDREZ MA DEMANDE EN CONSIDÉRATION  CORDIALEMENT  MME MARCHAND,non dissident,non dissident,non dissident,non dissident
211,Le procureur de la République ne répond pas et laisse persister ce harcèlement moral au sein de son propre tribunal depuis 2016 !,non dissident,inclassable,non dissident,non dissident
212,Réduire le nombre de députés et sénateurs qui sont sur-payés et on a le sentiment qu'ils ne servent à rien.,non dissident,dissident,dissident,dissident
213,"très peu d'aide  de la pare de ANPE ,aucune proposition de formations ,ou d'aide en général que des convocations pour remétrer des dossiers a jours et il faut faire 90 km pour cela?",non dissident,non dissident,non dissident,non dissident
214,Nombre de fois où il n'y a aucune réponse ou des réponses erronées,non dissident,non dissident,non dissident,non dissident
215,Ce fameux RIC SERA UN LYNCHAGE SI LES SUJETS DE L'IMPOT Y SONT ABORDES!!!,non dissident,inclassable,non dissident,non dissident
216,trop de députés trop de sénateurs,non dissident,non dissident,non dissident,non dissident
217,"J'en suis arrivée à un ""débordement"" de mes capacités à répondre aux demandes administratives qui se traduit par une réelle phobie",non dissident,non dissident,non dissident,non dissident
218,"C’est 0,8 point de plus par rapport à la zone euro, soit 5 milliards de coûts de gestion supplémentaires.L'ensemble des frais de gestion du système tournent autour de 42 milliards d’euros, si l’on y inclut les frais financiers (plus de 6 milliards) et les frais de gestion liés au versement des prestations sociales financées par L’État et les collectivités locales, à 4,1 milliards d’euros.",non dissident,non dissident,non dissident,non dissident
219,Donc économie totale 36.000.000+3.360.000=39.360.000€/an soit donc en arrondissant 40 millions d’euros par an.,non dissident,non dissident,inclassable,inclassable
220,L'Etat n'est aucunement représentatif du peuple.,dissident,non dissident,dissident,dissident
221,Trop de moyens existe de faire 'sortir' les bénéfices du pays en payant 'au prix fort' les matières premières à des affiliées de la même compagnie installées à l'étranger.,non dissident,non dissident,non dissident,non dissident
222,La cour des comptes a souvent épinglé cette gabegie financière mais rien n’est fait !,dissident,non dissident,non dissident,non dissident
223,"Malgré cela, rien n'a été fait.",inclassable,non dissident,inclassable,inclassable
224,Beaucoup de fonctionnaires très grassement payés et n'assurent de surcroit pas le travail quand d'autre corps de métier ne sont pas rémunérés à leur juste valeur.,non dissident,non dissident,dissident,dissident
225,"Cette organisation est obsolète, le citoyen ne s'y retrouve pas entre les différents niveaux de décision, commune, intercom, département, région, Etat, Europe.",non dissident,non dissident,non dissident,non dissident
226,"Pour la CARSAT en FRANCE le versement de la pension de retraite le 1er jour ouvré du mois ,exemple: pour le mois de Février 2019 une mise en paiement le Vendredi 1er Février 2019 et NON le Vendredi 8 Mars 2019 , hors Alsace-Moselle !",non dissident,non dissident,non dissident,non dissident
227,"Une minorité de francais paient l'impot sur le revenu, donc faire un vote sur tous ces sujets serait injuste et discriminatoire!",non dissident,non dissident,non dissident,non dissident
228,"Trop loin du citoyen, trop d'élus",non dissident,non dissident,non dissident,non dissident
229,"Inéligibilité à vie pour toute condamnation - Transformation du Conseil économique, social et environnemental en ""Agora des citoyens"" (nom un peu pompeux, mais c'est l'idée), composée par des citoyens tirés au sort - Dans ce schéma, suppression du Sénat envisageable",non dissident,non dissident,non dissident,non dissident
230,"trop de doublons trop de strates.certains services comme pôle emploi ne sont d'aucune aide.trop de fonctionnaires de décret pas assez de guichet (e macron).trop de hauts fonctionnaires sans attribution,modérationdes primes mirifiques qu'ils reçoivent",non dissident,non dissident,non dissident,non dissident
231,A défaut cette réforme aurait été inutile.,inclassable,non dissident,inclassable,inclassable
232,admettent qu ils sont dépassés et qu ils ne sont pas capables de nous donner les bonnes informations tellement les choses évoluent sans cesse.,non dissident,non dissident,inclassable,inclassable
233,"Si 1000€ de baisse sur environ ces 1000 élus, 20 millions/an.",non dissident,non dissident,inclassable,inclassable
234,"trop de couche , trop de compétences déléguées et qui ne sont plus assurées",non dissident,non dissident,non dissident,non dissident
235,Je paie les impots avec mon salaire et j'ai 5 mois de salaire qui partent en Impots sur le Revenu + 1 mois en Taxe d'habitation (non supprimée pour nous.),non dissident,non dissident,non dissident,non dissident
236,"Etant fonctionnaire, je constate une méconnaissance totale des citoyen quant au maillage administratif.",non dissident,non dissident,non dissident,non dissident
237,"La ""dématérialisation"" de l'intégralité des services publics à l'horizon 2022 est une hérésie car elle va ""laisser sur le carreau"" des personnes âgées ( souvent isolées et qui le seront encore plus faute de services proches !",non dissident,non dissident,non dissident,non dissident
238,"Zone non desservie par le service public, centralisé dans les grandes villes.",non dissident,non dissident,non dissident,non dissident
239,devient ingérable,inclassable,non dissident,non dissident,non dissident
240,"Trop d'échelons administratifs, trop de doublons  qui coutent une fortune, trop de cumuls d'indemnités des élus",non dissident,non dissident,non dissident,non dissident
241,"trop compliqué, on ne sait plus qui fait quoi",non dissident,non dissident,non dissident,non dissident
242,trop de lourdeur et pas de transparence,dissident,non dissident,non dissident,non dissident
243,"Trop de niveaux, manque d'efficacité, manque de résultats, pas d'obligation de résultats, pas de mutualisation des moyens.",non dissident,non dissident,non dissident,non dissident
244,Le nombre de députés et sénateurs est trop important et quasi inutile.,dissident,dissident,dissident,dissident
245,"Plus de taxes foncières ni d'habitation, plus d'imôts fonciers pour les particuliers, etc.",non dissident,non dissident,non dissident,non dissident
246,"Lorsqu'une entreprise va mal une des premières mesures mises en place : les LICENCIEMENTS, aujourd'hui la France connaît un déficit budgétaire jamais atteint, mais aucun ministre, sénateur, etc n'a été menacé de licenciement !",dissident,non dissident,non dissident,non dissident
247,L'état est trop complexe et injuste.,inclassable,non dissident,dissident,dissident
248,"- Non cumul des mandats pour les députés, les maires etc.",non dissident,non dissident,non dissident,non dissident
249,"L'administration est beaucoup trop hiérarchisée, ce qui permet aux agents de se défausser de toute responsabilité et d'allonger de manière insupportable les délais de réponses.",dissident,non dissident,non dissident,non dissident
250,"Trop de monde, trop complexe, trop de service qui ce rejette la balle quand vous les interrogez, obligé tous les fonctionnaires à un minimum de tâches a effectué pendant ses heures de travail car trop de laxisme",non dissident,non dissident,non dissident,non dissident
251,Trop de paperasserie.pas de cohérence entre administration,non dissident,non dissident,non dissident,non dissident
252,"Interdiction à toute personne ayant un casier judiciaire, même pour des faits mineurs",non dissident,non dissident,non dissident,non dissident
253,"trop de strates, de lenteurs, trop de centralisation, trop de concentration.",non dissident,non dissident,non dissident,non dissident
254,"Mettre Bercy, après l’avoir restructuré, au pas !",non dissident,dissident,non dissident,dissident
255,Trop inégalitaire.,non dissident,non dissident,dissident,non dissident
256,"Par ailleurs, s'agissant d'une construction neuve, il n'a eu droit à aucune réduction d'impôt à quelques titres que ce soit, alors que cette demeure est HQE .",non dissident,non dissident,non dissident,non dissident
257,"Une minorité décide, cette minorité ne vie pas de la même manière et ne comprend pas les besoins de la majorité.",non dissident,non dissident,non dissident,non dissident
258,Je n'y arrive plus.,inclassable,non dissident,non dissident,non dissident
259,Ce n'est pas tolérable.,inclassable,dissident,inclassable,inclassable
260,"Aucun ministre ou secrétaire d’état d’un portefeuille sensible et/ou stratégique, ou d’intérêt général, et quel qu’en soit le domaine, ne devra avoir exercé des responsabilités dans les secteurs privés équivalents ou avoisinants ou avoir été lobbyiste, en France ou à l’étranger.",non dissident,non dissident,non dissident,non dissident
261,les services publics disparaissent ou ouvrent à des heures indues dans les zones rurales,non dissident,non dissident,non dissident,non dissident
262,"TRop de fonctionnaires, notamment a Education Nationale, avec trop de personnel administratif Comme en allemagne decentraliser l'education au niveau des regions et supprimer le niveau national trop politisé et encombre de fonctionnaires en detachement syndical, ce qui retire des effectifs face aux eleves Reduire le nombre de ministres a 15 et reduire les plethoriques equipes qui les entourent L'ideal serait d'afficher un gouvernement a la suedoise aou a l'allemagne avec de serieuses economies de fonctionnement",non dissident,non dissident,non dissident,non dissident
263,Pas de privilèges ni avantages post mandats (principe d’égalité).,non dissident,non dissident,non dissident,non dissident
264,"Au total, l'Etat pourrait économiser près de 2 milliards d'euros en s'attaquant efficacement à cette nébuleuse de comités.",non dissident,non dissident,non dissident,non dissident
265,arrêter la dématérialisation à outrance,non dissident,non dissident,non dissident,non dissident
